mode	workload	op	avg	P99	P99.9	P99.99	max
separate	a	READ	204.04	378.111	493.311	614.911	430045.30
separate	a	UPDATE	148.44	296.959	404.479	512.767	430644.51
together	a	READ	272.08	644.607	1591.295	2330.623	220898.57
together	a	UPDATE	190.11	1233.919	3008.511	3612.671	221135.31
separate	b	READ	137.07	301.055	350.719	364.799	7134.42
separate	b	UPDATE	104.49	241.279	355.583	601.599	1474.03
together	b	READ	161.18	529.919	685.567	739.327	18202.29
together	b	UPDATE	123.16	474.623	749.055	1081.343	2835.58
separate	c	READ	105.67	191.231	213.759	219.775	3458.89
together	c	READ	114.27	227.199	269.567	281.343	10325.41
separate	d	INSERT	125.01	197.631	257.663	363.519	3128.69
separate	d	READ	125.68	199.807	221.183	226.431	3827.53
together	d	INSERT	125.67	283.903	479.999	697.343	13682.11
together	d	READ	146.26	319.999	401.663	434.687	14714.67
separate	e	INSERT	297.99	449.791	709.119	2551.807	2550.31
separate	e	SCAN	6264.87	12886.015	13918.207	14868.479	20436.16
together	e	INSERT	319.94	564.223	806.911	1190.911	1190.84
together	e	SCAN	8756.67	23822.335	30113.791	33685.503	55457.19
separate	f	READ	155.41	348.415	420.863	446.719	7367.12
separate	f	UPDATE	88.04	227.071	297.727	337.407	6955.76
together	f	READ	185.55	454.399	623.103	707.071	1079048.72
together	f	UPDATE	102.98	329.727	502.527	658.943	1073149.73
